State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andhra Pradesh,CHITTOOR,2010,Rabi,Maize,539,4914
Andhra Pradesh,CHITTOOR,2011,Kharif,Maize,930,3084
Andhra Pradesh,CHITTOOR,2011,Rabi,Maize,877,6805
Andhra Pradesh,CHITTOOR,2012,Kharif,Maize,1078,4375
Andhra Pradesh,CHITTOOR,2012,Rabi,Maize,547,3876
Andhra Pradesh,CHITTOOR,2013,Kharif,Maize,1905,7683
Andhra Pradesh,CHITTOOR,2013,Rabi,Maize,1303,9713
Andhra Pradesh,CHITTOOR,2014,Kharif,Maize,2693,8820
Andhra Pradesh,CHITTOOR,2014,Rabi,Maize,984,6429
Andhra Pradesh,EAST GODAVARI,1997,Kharif,Maize,1600,2900
Andhra Pradesh,EAST GODAVARI,1997,Rabi,Maize,3600,13700
Andhra Pradesh,EAST GODAVARI,1998,Kharif,Maize,1700,3600
Andhra Pradesh,EAST GODAVARI,1998,Rabi,Maize,3800,18700
Andhra Pradesh,EAST GODAVARI,1999,Kharif,Maize,1522,4324
Andhra Pradesh,EAST GODAVARI,1999,Rabi,Maize,4266,20652
Andhra Pradesh,EAST GODAVARI,2000,Kharif,Maize,1406,3661
Andhra Pradesh,EAST GODAVARI,2000,Rabi,Maize,4108,22117
Andhra Pradesh,EAST GODAVARI,2001,Kharif,Maize,1204,3218
Andhra Pradesh,EAST GODAVARI,2001,Rabi,Maize,2597,16810
Andhra Pradesh,EAST GODAVARI,2002,Kharif,Maize,1423,1379
Andhra Pradesh,EAST GODAVARI,2002,Rabi,Maize,5975,41407
Andhra Pradesh,EAST GODAVARI,2003,Kharif,Maize,2116,3631
Andhra Pradesh,EAST GODAVARI,2003,Rabi,Maize,6392,35795
Andhra Pradesh,EAST GODAVARI,2004,Kharif,Maize,1881,5556
Andhra Pradesh,EAST GODAVARI,2004,Rabi,Maize,6094,41080
Andhra Pradesh,EAST GODAVARI,2005,Kharif,Maize,1763,6308
Andhra Pradesh,EAST GODAVARI,2005,Rabi,Maize,7838,59349
Andhra Pradesh,EAST GODAVARI,2006,Kharif,Maize,1735,4757
Andhra Pradesh,EAST GODAVARI,2006,Rabi,Maize,6191,61867
Andhra Pradesh,EAST GODAVARI,2007,Kharif,Maize,2000,6000
Andhra Pradesh,EAST GODAVARI,2007,Rabi,Maize,6000,49000
Andhra Pradesh,EAST GODAVARI,2008,Kharif,Maize,1602,5154
Andhra Pradesh,EAST GODAVARI,2008,Rabi,Maize,6581,49107
Andhra Pradesh,EAST GODAVARI,2009,Kharif,Maize,983,3547
Andhra Pradesh,EAST GODAVARI,2009,Rabi,Maize,8005,59821
Andhra Pradesh,EAST GODAVARI,2010,Kharif,Maize,469,1399
Andhra Pradesh,EAST GODAVARI,2010,Rabi,Maize,7463,54704
Andhra Pradesh,EAST GODAVARI,2011,Kharif,Maize,468,1727
Andhra Pradesh,EAST GODAVARI,2011,Rabi,Maize,8067,54017
Andhra Pradesh,EAST GODAVARI,2012,Kharif,Maize,495,1938
Andhra Pradesh,EAST GODAVARI,2012,Rabi,Maize,9485,71659
Andhra Pradesh,EAST GODAVARI,2013,Kharif,Maize,513,1626
Andhra Pradesh,EAST GODAVARI,2013,Rabi,Maize,10684,92096
Andhra Pradesh,EAST GODAVARI,2014,Kharif,Maize,755,2500
Andhra Pradesh,EAST GODAVARI,2014,Rabi,Maize,12156,98257
Andhra Pradesh,GUNTUR,1997,Kharif,Maize,1700,3100
Andhra Pradesh,GUNTUR,1997,Rabi,Maize,5000,19000
Andhra Pradesh,GUNTUR,1998,Kharif,Maize,2300,4700
Andhra Pradesh,GUNTUR,1998,Rabi,Maize,2800,14100
Andhra Pradesh,GUNTUR,1999,Kharif,Maize,3853,10946
Andhra Pradesh,GUNTUR,1999,Rabi,Maize,3755,18178
Andhra Pradesh,GUNTUR,2000,Kharif,Maize,5281,13752
Andhra Pradesh,GUNTUR,2000,Rabi,Maize,4516,24314
Andhra Pradesh,GUNTUR,2001,Kharif,Maize,2549,6814
Andhra Pradesh,GUNTUR,2001,Rabi,Maize,4369,28281
Andhra Pradesh,GUNTUR,2002,Kharif,Maize,2327,2255
Andhra Pradesh,GUNTUR,2002,Rabi,Maize,6450,44699
Andhra Pradesh,GUNTUR,2003,Kharif,Maize,3891,6677
Andhra Pradesh,GUNTUR,2003,Rabi,Maize,22949,128514
Andhra Pradesh,GUNTUR,2004,Kharif,Maize,2749,8121
Andhra Pradesh,GUNTUR,2004,Rabi,Maize,32788,279714
Andhra Pradesh,GUNTUR,2005,Kharif,Maize,1617,5786
Andhra Pradesh,GUNTUR,2005,Rabi,Maize,22565,237023
Andhra Pradesh,GUNTUR,2006,Kharif,Maize,1132,3104
Andhra Pradesh,GUNTUR,2006,Rabi,Maize,34010,280276
Andhra Pradesh,GUNTUR,2007,Kharif,Maize,1000,3000
Andhra Pradesh,GUNTUR,2007,Rabi,Maize,58000,517000
Andhra Pradesh,GUNTUR,2008,Kharif,Maize,784,2522
Andhra Pradesh,GUNTUR,2008,Rabi,Maize,95547,950884
Andhra Pradesh,GUNTUR,2009,Kharif,Maize,530,1912
Andhra Pradesh,GUNTUR,2009,Rabi,Maize,68798,529745
Andhra Pradesh,GUNTUR,2010,Kharif,Maize,269,802
Andhra Pradesh,GUNTUR,2010,Rabi,Maize,80083,904377
Andhra Pradesh,GUNTUR,2011,Kharif,Maize,792,2922
Andhra Pradesh,GUNTUR,2011,Rabi,Maize,70965,627331
Andhra Pradesh,GUNTUR,2012,Kharif,Maize,1103,4319
Andhra Pradesh,GUNTUR,2012,Rabi,Maize,82043,662579
Andhra Pradesh,GUNTUR,2013,Kharif,Maize,1530,4850
Andhra Pradesh,GUNTUR,2013,Rabi,Maize,85535,643394
Andhra Pradesh,GUNTUR,2014,Kharif,Maize,367,1215
Andhra Pradesh,GUNTUR,2014,Rabi,Maize,63701,611020
Andhra Pradesh,KADAPA,1997,Kharif,Maize,200,100
Andhra Pradesh,KADAPA,1998,Kharif,Maize,100,100
Andhra Pradesh,KADAPA,1999,Kharif,Maize,104,295
Andhra Pradesh,KADAPA,1999,Rabi,Maize,11,53
Andhra Pradesh,KADAPA,2000,Kharif,Maize,104,271
Andhra Pradesh,KADAPA,2000,Rabi,Maize,51,275
Andhra Pradesh,KADAPA,2001,Kharif,Maize,53,142
Andhra Pradesh,KADAPA,2001,Rabi,Maize,31,201
Andhra Pradesh,KADAPA,2002,Kharif,Maize,136,132
Andhra Pradesh,KADAPA,2002,Rabi,Maize,25,173
Andhra Pradesh,KADAPA,2003,Kharif,Maize,68,117
Andhra Pradesh,KADAPA,2003,Rabi,Maize,4,22
Andhra Pradesh,KADAPA,2004,Kharif,Maize,125,359
Andhra Pradesh,KADAPA,2005,Kharif,Maize,156,804
Andhra Pradesh,KADAPA,2005,Rabi,Maize,1,7
Andhra Pradesh,KADAPA,2006,Kharif,Maize,123,439
Andhra Pradesh,KADAPA,2006,Rabi,Maize,35,265
Andhra Pradesh,KADAPA,2008,Kharif,Maize,623,2909
Andhra Pradesh,KADAPA,2008,Rabi,Maize,1398,12344
Andhra Pradesh,KADAPA,2009,Kharif,Maize,559,2072
Andhra Pradesh,KADAPA,2009,Rabi,Maize,840,6140
Andhra Pradesh,KADAPA,2010,Kharif,Maize,426,2182
Andhra Pradesh,KADAPA,2010,Rabi,Maize,987,8998
Andhra Pradesh,KADAPA,2011,Kharif,Maize,574,1903
Andhra Pradesh,KADAPA,2011,Rabi,Maize,1014,7868
Andhra Pradesh,KADAPA,2012,Kharif,Maize,497,2017
Andhra Pradesh,KADAPA,2012,Rabi,Maize,2201,15596
Andhra Pradesh,KADAPA,2013,Kharif,Maize,1125,4537
Andhra Pradesh,KADAPA,2013,Rabi,Maize,4364,32529
Andhra Pradesh,KADAPA,2014,Kharif,Maize,408,1336
Andhra Pradesh,KADAPA,2014,Rabi,Maize,2945,19243
Andhra Pradesh,KRISHNA,1997,Kharif,Maize,5900,10500
Andhra Pradesh,KRISHNA,1997,Rabi,Maize,2200,8200
Andhra Pradesh,KRISHNA,1998,Kharif,Maize,3000,6200
Andhra Pradesh,KRISHNA,1998,Rabi,Maize,1700,8600
Andhra Pradesh,KRISHNA,1999,Kharif,Maize,5147,14623
Andhra Pradesh,KRISHNA,1999,Rabi,Maize,2301,11139
Andhra Pradesh,KRISHNA,2000,Kharif,Maize,7375,19205
Andhra Pradesh,KRISHNA,2000,Rabi,Maize,3009,16200
Andhra Pradesh,KRISHNA,2001,Kharif,Maize,4512,12061
Andhra Pradesh,KRISHNA,2001,Rabi,Maize,2707,17522
Andhra Pradesh,KRISHNA,2002,Kharif,Maize,5834,5653
Andhra Pradesh,KRISHNA,2002,Rabi,Maize,4186,29002
Andhra Pradesh,KRISHNA,2003,Kharif,Maize,6576,11284
Andhra Pradesh,KRISHNA,2003,Rabi,Maize,5626,31506
Andhra Pradesh,KRISHNA,2004,Kharif,Maize,7788,35467
Andhra Pradesh,KRISHNA,2004,Rabi,Maize,5607,45170
Andhra Pradesh,KRISHNA,2005,Kharif,Maize,7483,37797
Andhra Pradesh,KRISHNA,2005,Rabi,Maize,5988,38162
Andhra Pradesh,KRISHNA,2006,Kharif,Maize,4971,22504
Andhra Pradesh,KRISHNA,2006,Rabi,Maize,6131,57552
Andhra Pradesh,KRISHNA,2007,Kharif,Maize,4000,23000
Andhra Pradesh,KRISHNA,2007,Rabi,Maize,13000,102000
Andhra Pradesh,KRISHNA,2008,Kharif,Maize,5070,25005
Andhra Pradesh,KRISHNA,2008,Rabi,Maize,24249,205365
Andhra Pradesh,KRISHNA,2009,Kharif,Maize,3552,16339
Andhra Pradesh,KRISHNA,2009,Rabi,Maize,16863,139676
Andhra Pradesh,KRISHNA,2010,Kharif,Maize,2468,11163
Andhra Pradesh,KRISHNA,2010,Rabi,Maize,16750,142945
Andhra Pradesh,KRISHNA,2011,Kharif,Maize,4876,19275
Andhra Pradesh,KRISHNA,2011,Rabi,Maize,19811,145631
Andhra Pradesh,KRISHNA,2012,Kharif,Maize,5246,24856
Andhra Pradesh,KRISHNA,2012,Rabi,Maize,20986,151750
Andhra Pradesh,KRISHNA,2013,Kharif,Maize,7321,30368
Andhra Pradesh,KRISHNA,2013,Rabi,Maize,25554,197149
Andhra Pradesh,KRISHNA,2014,Kharif,Maize,4682,20048
Andhra Pradesh,KRISHNA,2014,Rabi,Maize,20950,141433
Andhra Pradesh,KURNOOL,1997,Kharif,Maize,1000,1700
Andhra Pradesh,KURNOOL,1997,Rabi,Maize,100,200
Andhra Pradesh,KURNOOL,1998,Kharif,Maize,700,1400
Andhra Pradesh,KURNOOL,1998,Rabi,Maize,100,400
Andhra Pradesh,KURNOOL,1999,Kharif,Maize,669,1901
Andhra Pradesh,KURNOOL,1999,Rabi,Maize,134,649
Andhra Pradesh,KURNOOL,2000,Kharif,Maize,2635,6862
Andhra Pradesh,KURNOOL,2000,Rabi,Maize,175,942
Andhra Pradesh,KURNOOL,2001,Kharif,Maize,785,2098
Andhra Pradesh,KURNOOL,2001,Rabi,Maize,131,848
Andhra Pradesh,KURNOOL,2002,Kharif,Maize,1966,1905
Andhra Pradesh,KURNOOL,2002,Rabi,Maize,631,4373
Andhra Pradesh,KURNOOL,2003,Kharif,Maize,3534,6064
Andhra Pradesh,KURNOOL,2003,Rabi,Maize,1490,8344
Andhra Pradesh,KURNOOL,2004,Kharif,Maize,7241,20782
Andhra Pradesh,KURNOOL,2004,Rabi,Maize,769,5559
Andhra Pradesh,KURNOOL,2005,Kharif,Maize,8188,51380
Andhra Pradesh,KURNOOL,2005,Rabi,Maize,929,6941
Andhra Pradesh,KURNOOL,2006,Kharif,Maize,11988,40028
Andhra Pradesh,KURNOOL,2006,Rabi,Maize,1731,13116
Andhra Pradesh,KURNOOL,2007,Kharif,Maize,18000,104000
Andhra Pradesh,KURNOOL,2007,Rabi,Maize,2000,16000
Andhra Pradesh,KURNOOL,2008,Kharif,Maize,17806,90454
Andhra Pradesh,KURNOOL,2008,Rabi,Maize,3512,31011
Andhra Pradesh,KURNOOL,2009,Kharif,Maize,10824,29008
Andhra Pradesh,KURNOOL,2009,Rabi,Maize,4191,30636
Andhra Pradesh,KURNOOL,2010,Kharif,Maize,14588,78498
Andhra Pradesh,KURNOOL,2010,Rabi,Maize,5551,50608
Andhra Pradesh,KURNOOL,2011,Kharif,Maize,21650,92705
Andhra Pradesh,KURNOOL,2011,Rabi,Maize,7852,60924
Andhra Pradesh,KURNOOL,2012,Kharif,Maize,33567,162162
Andhra Pradesh,KURNOOL,2012,Rabi,Maize,8739,61925
Andhra Pradesh,KURNOOL,2013,Kharif,Maize,38761,212333
Andhra Pradesh,KURNOOL,2013,Rabi,Maize,13120,97796
Andhra Pradesh,KURNOOL,2014,Kharif,Maize,38554,138717
Andhra Pradesh,KURNOOL,2014,Rabi,Maize,7612,47347
Andhra Pradesh,PRAKASAM,1997,Kharif,Maize,1800,8100
Andhra Pradesh,PRAKASAM,1997,Rabi,Maize,4700,17600
Andhra Pradesh,PRAKASAM,1998,Kharif,Maize,4500,13800
Andhra Pradesh,PRAKASAM,1998,Rabi,Maize,1200,5800
Andhra Pradesh,PRAKASAM,1999,Kharif,Maize,7137,29383
Andhra Pradesh,PRAKASAM,1999,Rabi,Maize,3288,15917
Andhra Pradesh,PRAKASAM,2000,Kharif,Maize,12141,42093
Andhra Pradesh,PRAKASAM,2000,Rabi,Maize,3137,16890
Andhra Pradesh,PRAKASAM,2001,Kharif,Maize,6257,27543
Andhra Pradesh,PRAKASAM,2001,Rabi,Maize,2872,18705
Andhra Pradesh,PRAKASAM,2002,Kharif,Maize,6448,168
Andhra Pradesh,PRAKASAM,2002,Rabi,Maize,2230,11538
Andhra Pradesh,PRAKASAM,2003,Kharif,Maize,8664,14278
Andhra Pradesh,PRAKASAM,2003,Rabi,Maize,1538,9142
Andhra Pradesh,PRAKASAM,2004,Kharif,Maize,6393,8145
Andhra Pradesh,PRAKASAM,2004,Rabi,Maize,2906,13940
Andhra Pradesh,PRAKASAM,2005,Kharif,Maize,2860,9058
Andhra Pradesh,PRAKASAM,2005,Rabi,Maize,3134,20778
Andhra Pradesh,PRAKASAM,2006,Kharif,Maize,737,2314
Andhra Pradesh,PRAKASAM,2006,Rabi,Maize,2728,17216
Andhra Pradesh,PRAKASAM,2007,Kharif,Maize,1000,3000
Andhra Pradesh,PRAKASAM,2007,Rabi,Maize,4000,21000
Andhra Pradesh,PRAKASAM,2008,Kharif,Maize,1401,6226
Andhra Pradesh,PRAKASAM,2008,Rabi,Maize,5743,30289
Andhra Pradesh,PRAKASAM,2009,Kharif,Maize,244,605
Andhra Pradesh,PRAKASAM,2009,Rabi,Maize,5586,46861
Andhra Pradesh,PRAKASAM,2010,Kharif,Maize,260,1460
Andhra Pradesh,PRAKASAM,2010,Rabi,Maize,8734,73139
Andhra Pradesh,PRAKASAM,2011,Kharif,Maize,587,2629
Andhra Pradesh,PRAKASAM,2011,Rabi,Maize,12951,100642
Andhra Pradesh,PRAKASAM,2012,Kharif,Maize,1604,8937
Andhra Pradesh,PRAKASAM,2012,Rabi,Maize,19797,125355
Andhra Pradesh,PRAKASAM,2013,Kharif,Maize,3012,13006
Andhra Pradesh,PRAKASAM,2013,Rabi,Maize,20101,161351
Andhra Pradesh,PRAKASAM,2014,Kharif,Maize,1183,4294
Andhra Pradesh,PRAKASAM,2014,Rabi,Maize,15889,127001
Andhra Pradesh,SPSR NELLORE,1997,Kharif,Maize,100,100
Andhra Pradesh,SPSR NELLORE,1998,Kharif,Maize,100,200
Andhra Pradesh,SPSR NELLORE,1998,Rabi,Maize,100,100
Andhra Pradesh,SPSR NELLORE,1999,Kharif,Maize,21,60
Andhra Pradesh,SPSR NELLORE,2000,Kharif,Maize,51,133
Andhra Pradesh,SPSR NELLORE,2000,Rabi,Maize,273,1470
Andhra Pradesh,SPSR NELLORE,2001,Kharif,Maize,98,262
Andhra Pradesh,SPSR NELLORE,2002,Kharif,Maize,2,2
Andhra Pradesh,SPSR NELLORE,2002,Rabi,Maize,65,450
Andhra Pradesh,SPSR NELLORE,2003,Kharif,Maize,17,29
Andhra Pradesh,SPSR NELLORE,2003,Rabi,Maize,6,34
Andhra Pradesh,SPSR NELLORE,2004,Kharif,Maize,55,162
Andhra Pradesh,SPSR NELLORE,2004,Rabi,Maize,10,72
Andhra Pradesh,SPSR NELLORE,2005,Kharif,Maize,56,200
Andhra Pradesh,SPSR NELLORE,2005,Rabi,Maize,24,179
Andhra Pradesh,SPSR NELLORE,2006,Kharif,Maize,28,77
Andhra Pradesh,SPSR NELLORE,2006,Rabi,Maize,128,970
Andhra Pradesh,SPSR NELLORE,2008,Kharif,Maize,128,412
Andhra Pradesh,SPSR NELLORE,2008,Rabi,Maize,544,4804
Andhra Pradesh,SPSR NELLORE,2009,Kharif,Maize,177,639
Andhra Pradesh,SPSR NELLORE,2009,Rabi,Maize,647,4730
Andhra Pradesh,SPSR NELLORE,2010,Kharif,Maize,53,158
Andhra Pradesh,SPSR NELLORE,2010,Rabi,Maize,507,4622
Andhra Pradesh,SPSR NELLORE,2011,Kharif,Maize,207,764
Andhra Pradesh,SPSR NELLORE,2011,Rabi,Maize,1219,9458
Andhra Pradesh,SPSR NELLORE,2012,Kharif,Maize,163,638
Andhra Pradesh,SPSR NELLORE,2012,Rabi,Maize,1274,9028
Andhra Pradesh,SPSR NELLORE,2013,Kharif,Maize,286,907
Andhra Pradesh,SPSR NELLORE,2013,Rabi,Maize,1631,12157
Andhra Pradesh,SPSR NELLORE,2014,Kharif,Maize,132,437
Andhra Pradesh,SPSR NELLORE,2014,Rabi,Maize,691,5547
Andhra Pradesh,SRIKAKULAM,1997,Kharif,Maize,200,400
Andhra Pradesh,SRIKAKULAM,1997,Rabi,Maize,100,200
Andhra Pradesh,SRIKAKULAM,1998,Kharif,Maize,300,500
Andhra Pradesh,SRIKAKULAM,1999,Kharif,Maize,302,858
Andhra Pradesh,SRIKAKULAM,1999,Rabi,Maize,18,87
Andhra Pradesh,SRIKAKULAM,2000,Kharif,Maize,242,630
Andhra Pradesh,SRIKAKULAM,2000,Rabi,Maize,11,59
Andhra Pradesh,SRIKAKULAM,2001,Kharif,Maize,311,831
Andhra Pradesh,SRIKAKULAM,2001,Rabi,Maize,146,945
Andhra Pradesh,SRIKAKULAM,2002,Kharif,Maize,400,388
Andhra Pradesh,SRIKAKULAM,2002,Rabi,Maize,500,3458
Andhra Pradesh,SRIKAKULAM,2003,Kharif,Maize,1149,1972
Andhra Pradesh,SRIKAKULAM,2003,Rabi,Maize,895,5012
Andhra Pradesh,SRIKAKULAM,2004,Kharif,Maize,1114,3291
Andhra Pradesh,SRIKAKULAM,2004,Rabi,Maize,747,5400
Andhra Pradesh,SRIKAKULAM,2005,Kharif,Maize,1382,4945
Andhra Pradesh,SRIKAKULAM,2005,Rabi,Maize,1076,8039
Andhra Pradesh,SRIKAKULAM,2006,Kharif,Maize,1857,5092
Andhra Pradesh,SRIKAKULAM,2006,Rabi,Maize,1155,8751
Andhra Pradesh,SRIKAKULAM,2007,Kharif,Maize,2000,7000
Andhra Pradesh,SRIKAKULAM,2007,Rabi,Maize,1000,11000
Andhra Pradesh,SRIKAKULAM,2008,Kharif,Maize,1657,5331
Andhra Pradesh,SRIKAKULAM,2008,Rabi,Maize,1726,15241
Andhra Pradesh,SRIKAKULAM,2009,Kharif,Maize,2207,7963
Andhra Pradesh,SRIKAKULAM,2009,Rabi,Maize,2800,20468
Andhra Pradesh,SRIKAKULAM,2010,Kharif,Maize,2824,8421
Andhra Pradesh,SRIKAKULAM,2010,Rabi,Maize,4565,41619
Andhra Pradesh,SRIKAKULAM,2011,Kharif,Maize,6097,22498
Andhra Pradesh,SRIKAKULAM,2011,Rabi,Maize,5320,41278
Andhra Pradesh,SRIKAKULAM,2012,Kharif,Maize,5875,23007
Andhra Pradesh,SRIKAKULAM,2012,Rabi,Maize,4371,30973
Andhra Pradesh,SRIKAKULAM,2013,Kharif,Maize,5752,18234
Andhra Pradesh,SRIKAKULAM,2013,Rabi,Maize,4985,37158
Andhra Pradesh,SRIKAKULAM,2014,Kharif,Maize,9103,36330
Andhra Pradesh,SRIKAKULAM,2014,Rabi,Maize,5771,46324
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,Maize,6400,6500
Andhra Pradesh,VISAKHAPATANAM,1997,Rabi,Maize,300,1100
Andhra Pradesh,VISAKHAPATANAM,1998,Kharif,Maize,6400,8600
Andhra Pradesh,VISAKHAPATANAM,1998,Rabi,Maize,300,1400
Andhra Pradesh,VISAKHAPATANAM,1999,Kharif,Maize,6419,9134
Andhra Pradesh,VISAKHAPATANAM,1999,Rabi,Maize,606,2934
Andhra Pradesh,VISAKHAPATANAM,2000,Kharif,Maize,6704,6979
Andhra Pradesh,VISAKHAPATANAM,2000,Rabi,Maize,901,4851
Andhra Pradesh,VISAKHAPATANAM,2001,Kharif,Maize,6879,7567
Andhra Pradesh,VISAKHAPATANAM,2001,Rabi,Maize,1098,7107
Andhra Pradesh,VISAKHAPATANAM,2002,Kharif,Maize,6976,12843
Andhra Pradesh,VISAKHAPATANAM,2002,Rabi,Maize,918,6362
Andhra Pradesh,VISAKHAPATANAM,2003,Kharif,Maize,6910,12445
Andhra Pradesh,VISAKHAPATANAM,2003,Rabi,Maize,1413,7913
Andhra Pradesh,VISAKHAPATANAM,2004,Kharif,Maize,6766,11773
Andhra Pradesh,VISAKHAPATANAM,2004,Rabi,Maize,1452,10497
Andhra Pradesh,VISAKHAPATANAM,2005,Kharif,Maize,6834,12554
Andhra Pradesh,VISAKHAPATANAM,2005,Rabi,Maize,1343,10034
Andhra Pradesh,VISAKHAPATANAM,2006,Kharif,Maize,7042,9253
Andhra Pradesh,VISAKHAPATANAM,2006,Rabi,Maize,1474,11168
Andhra Pradesh,VISAKHAPATANAM,2007,Kharif,Maize,7000,9000
Andhra Pradesh,VISAKHAPATANAM,2007,Rabi,Maize,1000,11000
Andhra Pradesh,VISAKHAPATANAM,2008,Kharif,Maize,6321,9014
Andhra Pradesh,VISAKHAPATANAM,2008,Rabi,Maize,1414,12486
Andhra Pradesh,VISAKHAPATANAM,2009,Kharif,Maize,5913,12926
Andhra Pradesh,VISAKHAPATANAM,2009,Rabi,Maize,1258,9196
Andhra Pradesh,VISAKHAPATANAM,2010,Kharif,Maize,5749,9227
Andhra Pradesh,VISAKHAPATANAM,2010,Rabi,Maize,1021,9308
Andhra Pradesh,VISAKHAPATANAM,2011,Kharif,Maize,6359,25112
Andhra Pradesh,VISAKHAPATANAM,2011,Rabi,Maize,1126,8737
Andhra Pradesh,VISAKHAPATANAM,2012,Kharif,Maize,5837,12830
Andhra Pradesh,VISAKHAPATANAM,2012,Rabi,Maize,1126,7979
Andhra Pradesh,VISAKHAPATANAM,2013,Kharif,Maize,5988,7820
Andhra Pradesh,VISAKHAPATANAM,2013,Rabi,Maize,1248,9303
Andhra Pradesh,VISAKHAPATANAM,2014,Kharif,Maize,5894,9224
